Category,Question,Answer
Tables,What’s a dual table?,It’s a default special one-row table in Oracle database installations
Tables,Can we do calculations with a dual table?,Can use to do calculations or to perform sequence generator
Tables,Can you generate sequence with a dual table?,Can use to do calculations or to perform sequence generator
Tables,Can we look at the user or date with a dual table?,Yes
Tables,Can we insert more rows into a DUAL table?,Yes
Tables,Can we create a table based on a existing table? (OR) What’s the easiest way to backup a table?,"Yes, CTAS() create table as  ⇒ Back up tables"
Tables,Can we drop all the columns from a table?,"We can’t drop all the columns from a table, we’ll get the ORA-12983 error."
Tables,What are pseudo columns?,"Pseudo columns behave like a table column, but is not actually stored in the table. You can select from a pseudo table but you cannot insert, update, or delete their values. SYSDATE (get current date), ROWID, ROWNUM, OBJECT_ID, OBJECT_VALUE, ORA_ROWSCN, XMLDATA, CURRVAL, NEXTVAL, LEVEL, CONNECT BY ISCYCLE"
Tables,"What’s the difference between count(1), count(*)?","count(1) and count(*) are the same. Same amount of work, do the same thing and take the same amount of resources."
Filters,What is the difference between IN and = operator?,"An = operator accepts only 1 value, IN operator can accept more than 1 value. Max values it can take is 100"
Filters,How many maximum number of values can a IN operator take?,IN operator can accept more than 1 value. Max values it can take is 100
Filters,Difference between EXIST and IN when using sub queries?,"For IN the inner query is executed first and only once. For exists the first row of the outer query is executed first, then the inner query and the outer query ouput uses this result for checking. It repeqts qs mqny times qs there qre outer auery rows"
Filters,Difference between HAVING and WHERE clause?,WHERE is used to filter out the data before the aggregation takes place and HAVING is used to filter out the data after the aggregation takes place.
Delete and Truncate,What’s the difference between Delete and Truncate? Which is faster?,"DELETE commands is used to selectively remove rows from a table using a WHERE clause. If no WHERE condition is specified, all rows will be removed. After DELETE you need to COMMIT or ROLLBACK to make changes permanent or undo. Truncate removes all rows from table. No rollback.Since no undo log and no dependencies TRUNCATE is faster"
Delete and Truncate,Can we use WHERE condition with truncate?,No because TRUNCATE removes all rows from a table.
Delete and Truncate,Can we delete a record from more than one table simultaneously?,"To delete record from more than one table, join them and use delete"
